primary_category,users,m_p20,m_p40,m_p60,m_p80,m_median,m_avg,m_max
beauty,411,40.71,57.3,74.85,102.32,64.8,77.44172749391727,301.59
electronics,300,65.74600000000001,98.91000000000001,137.562,203.38800000000003,120.985,145.78246666666666,590.4
fashion,440,58.404,83.852,102.106,150.35399999999998,89.995,108.87625000000001,373.66
home,425,55.342,89.71400000000001,123.86599999999999,189.58000000000004,109.32,130.85275294117648,474.97
sports,301,53.91,74.76,94.22,138.54,84.04,105.20458471760797,432.37
