channel,historical_daily_spend,historical_daily_revenue,historical_daily_roas,fitted_current_daily_revenue,fitted_current_daily_roas,recommended_daily_budget,recommended_daily_revenue,recommended_daily_roas,daily_budget_change,daily_budget_change_pct,daily_revenue_uplift,daily_revenue_uplift_pct,current_daily_budget_total,recommended_daily_budget_total,current_daily_revenue_total,recommended_daily_revenue_total,budget_objective_success,budget_objective_message
google,463.0550410958904,694.6486301369863,1.5001426795678423,748.5478029941897,1.6165417424732862,338.56624675276527,598.7815949286771,1.7685803019990105,-124.48879434312511,-0.26884232606236913,-149.76620806551261,-0.2000756764851197,1475.4183835616439,1475.4183835616439,2634.8183160162916,2661.6381134889525,True,Optimization terminated successfully
meta,474.8233150684932,719.4195342465754,1.5151310211942715,813.8093325317869,1.7139203293216447,471.843742106631,809.8578474583583,1.7163687364859448,-2.979572961862175,-0.006275119328191313,-3.951485073428671,-0.00485554160596251,1475.4183835616439,1475.4183835616439,2634.8183160162916,2661.6381134889525,True,Optimization terminated successfully
tiktok,537.5400273972602,980.040493150685,1.8231953774605179,1072.4611804903147,1.9951280385260124,665.0083947022476,1252.998671101917,1.88418474275492,127.4683673049874,0.23713279162145812,180.53749061160215,0.1683394176832236,1475.4183835616439,1475.4183835616439,2634.8183160162916,2661.6381134889525,True,Optimization terminated successfully
