rfm_segment,users,total_revenue,avg_revenue_per_user,median_revenue_per_user,total_orders,avg_frequency,repeat_users,avg_recency_days,avg_order_value,avg_profit_margin,subscribed_users,user_share,revenue_share,repeat_rate,subscription_rate
重要价值用户,6,1907.3,317.8833333333333,318.145,12,2.0,6,55.5,158.94166666666666,0.4417733165760673,0,0.0031965903036760787,0.00905015206798798,1.0,0.0
重要挽留用户,1,149.48000000000002,149.48000000000002,149.48000000000002,2,2.0,1,127.0,74.74000000000001,0.6163956639566396,1,0.0005327650506126798,0.0007092836633580682,1.0,1.0
重要发展用户,430,81973.81,190.63676744186046,159.425,430,1.0,0,101.40232558139535,190.63676744186046,0.483238088137569,148,0.2290889717634523,0.3889663115882943,0.0,0.34418604651162793
重要唤回用户,315,50188.32,159.328,140.84,315,1.0,0,248.62222222222223,159.328,0.5598393300826945,109,0.16782099094299413,0.238143935425388,0.0,0.346031746031746
一般价值用户,0,0.0,,,0,,0,,,,0,0.0,0.0,,
一般挽留用户,0,0.0,,,0,,0,,,,0,0.0,0.0,,
一般发展用户,621,44898.65,72.30056360708535,71.43,621,1.0,0,100.09983896940419,72.30056360708535,0.46199878090835167,226,0.33084709643047416,0.21304441364618495,0.0,0.3639291465378422
低价值流失用户,504,31630.28,62.75849206349206,62.620000000000005,504,1.0,0,250.29761904761904,62.75849206349206,0.5757368505698323,173,0.2685135855087906,0.15008590360878668,0.0,0.34325396825396826
