channel,spend_total,spend_share,first_touch,last_touch,linear,time_decay,first_touch_roas,first_touch_revenue_share,last_touch_roas,last_touch_revenue_share,linear_roas,linear_revenue_share,time_decay_roas,time_decay_revenue_share,first_touch_vs_last_touch_delta,first_touch_vs_last_touch_delta_pct,linear_vs_last_touch_delta,linear_vs_last_touch_delta_pct,time_decay_vs_last_touch_delta,time_decay_vs_last_touch_delta_pct
direct,0.0,0.0,28628.82,92802.06,28628.82,28628.82,,0.12331941829775488,,0.3997473893801193,,0.12331941829775488,,0.12331941829775488,-64173.24,-0.6915066325036319,-64173.24,-0.6915066325036319,-64173.24,-0.6915066325036319
email,0.0,0.0,17253.97,12406.76,17253.97,17253.97,,0.07432194354244827,,0.05344245505612363,,0.07432194354244827,,0.07432194354244827,4847.210000000001,0.3906910426251496,4847.210000000001,0.3906910426251496,4847.210000000001,0.3906910426251496
google,169015.09,0.31384659853436325,56082.35,39919.44,56082.35,56082.35,0.33181859678919795,0.24157624305755854,0.23618861487456536,0.17195407004452604,0.33181859678919795,0.24157624305755854,0.33181859678919795,0.24157624305755854,16162.909999999996,0.40488819482437616,16162.909999999996,0.40488819482437616,16162.909999999996,0.40488819482437616
meta,173310.51,0.32182282690708713,52951.96,35174.07,52951.96,52951.96,0.30553230730207875,0.22809200326545015,0.20295405050738122,0.15151326011915653,0.30553230730207875,0.22809200326545015,0.30553230730207875,0.22809200326545015,17777.89,0.5054260141064142,17777.89,0.5054260141064142,17777.89,0.5054260141064142
organic,0.0,0.0,45472.69,31472.63,45472.69,45472.69,,0.19587484497209928,,0.13556920697047484,,0.19587484497209928,,0.19587484497209928,14000.060000000001,0.44483285953541224,14000.060000000001,0.44483285953541224,14000.060000000001,0.44483285953541224
tiktok,196202.11,0.36433057455854967,31761.97,20376.8,31761.97,31761.97,0.1618839369260606,0.13681554686468886,0.1038561715773597,0.08777361842959966,0.1618839369260606,0.13681554686468886,0.1618839369260606,0.13681554686468886,11385.170000000002,0.558731989321189,11385.170000000002,0.558731989321189,11385.170000000002,0.558731989321189
