channel,observations,historical_spend_total,historical_revenue_total,historical_roas,curve_a,curve_b,spend_scale,fit_r2,fit_mae
google,365,169015.09,253546.75,1.500142679567842,1419.8615724727108,1.2988051280786688,802.878,0.2296719323073444,320.61556323556374
meta,365,173310.50999999998,262588.13,1.5151310211942717,2082.362882942808,0.8855966350958375,848.426,0.5709503957746003,278.30834358372255
tiktok,365,196202.11,357714.78,1.8231953774605179,2585.775072809823,0.9677065642425882,970.988,0.5076241738749143,379.78740633944744
